titleRestaurant,adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,average_price,price_min
Mitani Cafe & FUN PUB,"Akbıyık Caddesi no 34 Cankurtaran Mah, İstanbul 34122 Türkiye,İnternet sitesi","Uluslararası,Türk,Vejetaryen Dostu","Uluslararası, Türk",175,+90 535 920 31 51,10-70,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",40.0,40.0
"A""Danuna","Maslak Mah., Ahi Evran Cd. No:6 D:3 Maslak 42 AVM, İstanbul 34398 Türkiye,İnternet sitesi","Akdeniz,Türk","Akdeniz, Türk",49,+90 554 157 01 01,20-60,5.0,"Öğle Yemeği, Akşam Yemeği, Kahvaltı, İçecekler",40.0,40.0
Füme,"Mehmet Afkan Sok. No: 15-17/A Koşuyolu Mahallesi, İstanbul 34718 Türkiye,İnternet sitesi,Menü","İtalyan,Fransız,Meksika","İtalyan, Fransız, Meksika, Amerikan, Türk",46,+90 216 327 04 27,10-70,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",40.0,40.0
Hidden Garden,"Binbirdirek mah peykhane sokak no:18 Fatih İstanbul, İstanbul 34122 Türkiye,İnternet sitesi","Akdeniz,Barbekü,Avrupa","Akdeniz, Türk, Sağlıklı, Barbekü, Avrupa",114,+90 532 067 48 13,22-55,5.0,"Öğle Yemeği, Akşam Yemeği",38.5,38.5
Supra,"Çamlıca Tepesi Sk. No.40 Ferah Mahallesi, İstanbul 34692 Türkiye,İnternet sitesi",Türk,Türk,15,+90 216 530 25 25,10-65,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",37.5,37.5
Alasil Restoranı,"Mahmut Bey Cad. NO: 70A Sirinevler Mah., İstanbul 34012 Türkiye,İnternet sitesi,Menü","Fast Food,Uluslararası,Ortadoğu","Fast Food, Uluslararası, Ortadoğu, Arap",2,+90 554 166 26 66,5-70,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",37.5,37.5
Alır Cafe Restaurant,"Kordonboyu Mahallesi, Rıhtım Caddesi. D:No.:19 Kartal, İstanbul 34860 Türkiye,İnternet sitesi,Menü","Kafe,Akdeniz,Barbekü","Türk, Kafe, Akdeniz, Barbekü, Mangal",131,+90 216 488 57 60,5-65,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",35.0,35.0
KUBA Cafe & Gusto,"Incirli Cd No:67 Zuhuratbaba Mahallesi, İstanbul 34147 Türkiye,İnternet sitesi","Pizza,Fast Food,Türk","Pizza, Fast Food, Türk, Mangal, Arap",77,+90 543 723 12 83,20-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",35.0,35.0
Breakfast&Sweet,"Şair Veysi Sokak No:3/A BEŞİKTAŞ, İstanbul 34022 Türkiye,İnternet sitesi","Amerikan,Kafe,Türk","Amerikan, Kafe, Türk",12,+90 530 650 04 09,20-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",35.0,35.0
Madame Kuki,"Ayazma Dere Caddesi Çobanoğlu Apt. No: 17 D: 1, İstanbul 34500 Türkiye,İnternet sitesi","İtalyan,Kafe,Avrupa","Avrupa, İtalyan, Kafe, Türk, Sağlıklı",1,+90 532 289 58 54,20-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",35.0,35.0
Dükkan Galata,"Müeyyedzade Mah. Tatarbeyi Sokak 15/B, İstanbul 34425 Türkiye,İnternet sitesi","Fransız,Kafe,Akdeniz","Fransız, Akdeniz, Türk, Kafe, Sağlıklı",108,+90 537 427 90 30,20-48,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",34.0,34.0
Orya Restaurant,"Liva Sokak No:15/A Kuloğlu Mahallesi, İstanbul 34433 Türkiye,İnternet sitesi","Türk,Mangal","Türk, Mangal",1,+90 543 611 15 15,8-60,5.0,"Öğle Yemeği, Akşam Yemeği",34.0,34.0
https://lmt.tripadvisor.com/lmt/request/00000173-6153-9fb4-4bb7-02d473a50000,"Abbasağa Mahallesi, Yıldız Caddesi, İhsan Apt, No:1, İstanbul 34353 Türkiye,İnternet sitesi","Amerikan,Fast Food","Amerikan, Fast Food",81,+90 212 227 27 11,26-40,5.0,"Öğle Yemeği, Akşam Yemeği",33.0,33.0
BARBEK - Fransiz Tacos,"Dumlupınar Mah. Nuhoğlu İnşaat, Ozen Sokak 48 Kadikoy, İstanbul 34720 Türkiye,İnternet sitesi,Menü","Fransız,Fast Food,Avrupa","Fransız, Fast Food, Avrupa, Mangal, Sokak Yemekleri",66,+90 552 524 57 07,15-50,5.0,"Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",32.5,32.5
Only Cinnamon,"1638 Sokak Kozapark Burgaz Blok, Esenyurt, İstanbul 34538 Türkiye,İnternet sitesi,Menü","Amerikan,Alman,Kafe","Amerikan, Alman, Avrupa, İsveç, Danimarka, Kafe, Türk",51,+90 212 830 38 26,15-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",32.5,32.5
Astra Fish,"Kuloğlu Mah. Istiklal Cad. No 2, İstanbul 34435 Türkiye,İnternet sitesi","Bar,Deniz Mahsülleri,Uluslararası","Bar, Deniz Mahsülleri, Uluslararası, Barbekü, Avrupa, Türk, Ortadoğu",45,+90 539 616 38 20,15-50,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",32.5,32.5
Aşiyan Pub Ocakbaşı,"Konaklar Mahallesi, Selvili Sokak No: 7/B-C 4. Levent, Beşiktaş, İstanbul 34330 Türkiye,İnternet sitesi","Biftek Restoranı,Bar,Türk","Biftek Restoranı, Bar, Türk",30,+90 212 280 28 44,15-50,5.0,Akşam Yemeği,32.5,32.5
The Cookah Bistro,"Yeşilköy Mahallesi, Seyit Ali Sk. No: 28 Bakırköy, İstanbul 34149 Türkiye,İnternet sitesi","Biftek Restoranı,Pizza,Türk","Biftek Restoranı, Türk, Pizza, Bar, Sağlıklı, Gastropub",28,+90 212 663 04 05,15-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",32.5,32.5
Willion Pizza,"Ciragan Caddesi No:33A Besiktas Yildiz Mahallesi, İstanbul 34349 Türkiye,İnternet sitesi","İtalyan,Pizza,Fast Food","Pizza, İtalyan, Fast Food, Güney Amerika, Orta Amerika, Napoli, Campania, Güney İtalya",8,+90 212 265 10 10,6-59,5.0,"Öğle Yemeği, Kahvaltı, Akşam Yemeği, İçecekler",32.5,32.5
Ragu Lokanta,"Levazım Mahallesi, Sehit Korhan Zagrali Sokak, Levazım Sitesi G1 Blok No: 5/A Bahce Katı Levent / Besiktas, İstanbul 34340 Türkiye,İnternet sitesi","Türk,Çağdaş,Lokanta,Sağlıklı","Öğle Yemeği, Akşam Yemeği, İçecekler",4,+90 212 272 22 14,,5.0,"Dışarı Yemek Servisi, Paket Yemek, Rezervasyonlar, Açık Havada Oturma, Özel Yemek, Oturma, Cadde Üzerinde Park, Bebek Sandalyesi Var, Ücretsiz Wifi, Kredi Kartı Geçerli",32.5,32.5
Vezirhan restaurant,"Aksemsettin Mahallesi, Fevzipasa Caddesi Ocaklı Sokak, No:9/A, Fatih, İstanbul Türkiye,İnternet sitesi","Biftek Restoranı,Mangal,Helal","Biftek Restoranı, Mangal",2,+90 532 172 64 15,15-50,5.0,Helal,32.5,32.5
Adanalı Serra Dürüm,"Altıntepe Mahallesi, Turgut Özal Bulvarı, İstanbul 34840 Türkiye,İnternet sitesi","Deniz Mahsülleri,Barbekü,Türk","Deniz Mahsülleri, Barbekü, Türk",1,+90 216 380 09 84,15-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",32.5,32.5
ADDE Cafe,"Halk Cad. No:64/A Aziz Mahmut Hüdayi Mah., İstanbul 34672 Türkiye,İnternet sitesi,Menü","Lübnan,Akdeniz,Türk","Lübnan, Akdeniz, Türk, Yunan",122,+90 216 343 53 92,14-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",32.0,32.0
Alfred Cafe & Restaurant,"Bademaltı Sok. No:1C Caferağa Mah., İstanbul 34710 Türkiye,İnternet sitesi,Menü","İtalyan,Meksika,Türk","İtalyan, Meksika, Türk",10,+90 216 405 22 48,14-50,5.0,"Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",32.0,32.0
Neruda Bar&Restaurant,"Pavlonya Sokak 25/A Caferaga Mahallesi, İstanbul 34710 Türkiye,İnternet sitesi","Kafe,Fast Food,Uluslararası","Kafe, Fast Food, Uluslararası",1,+90 216 700 21 81,16-48,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",32.0,32.0
Kurukahveci Hafız Ahmet,"Uncular Cad. No:13 Aziz Mahmut Hüdai Mah, İstanbul Türkiye,İnternet sitesi",Türk,Türk,5,+90 216 310 24 44,3-60,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",31.5,31.5
Chinchillas Balat,"Yavuz Sultan Selim Mahallesi, Abdülezelpaşa Caddesi Yavuz Sultan Selim Mahallesi, İstanbul 34083 Türkiye,İnternet sitesi,Menü","Meksika,Latin,Avrupa","Meksika, Latin, Avrupa, İspanyol, Türk, Orta Avrupa, Arap",11,+90 212 621 61 79,12-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",31.0,31.0
MOC,"Şakayık Sk. 4/A Teşvikiye, İstanbul 34365 Türkiye,İnternet sitesi","İtalyan,Fransız,Türk","İtalyan, Fransız, Türk, Avustralya",6,+90 212 234 44 65,12-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",31.0,31.0
My Home Sultanahmet Restaurant,"Piyer Loti Caddesi, No:35 Between Grand Bazaar and Sultanahmet area near the Çemberlitaş Tram Station, İstanbul 34126 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Akdeniz, Türk, Barbekü, Avrupa",203,+90 212 518 80 80,10-50,5.0,"Vejetaryen Dostu, Glütensiz Seçenekler, Vegan Seçenekleri",30.0,30.0
Vegan İstanbul,"Firuzağa Mah. Türkgücü Cad. No: 51/A Beyoğlu, Cihangir, Koc Market Yanı, İstanbul Türkiye,İnternet sitesi,Menü","İtalyan,Akdeniz,Türk","Vejetaryen Dostu, Vegan Seçenekleri",97,+90 212 249 00 08,,5.0,"Öğle Yemeği, Akşam Yemeği, Brunch",30.0,30.0
Velvet Cafe,"Balat Mh. Çimen Sk. No: 8 Fatih, İstanbul 34000 Türkiye,İnternet sitesi","Kafe,Türk,Vejetaryen Dostu","Türk, Kafe",53,+90 545 225 05 28,10-50,5.0,"Vegan Seçenekleri, Vejetaryen Dostu",30.0,30.0
Karemel Lab Fırın Kafe,"Akatlar Mah. Zeytinoğlu Cd. Selçuklar Sk. No:13/A Etiler, İstanbul 34335 Türkiye,İnternet sitesi",Fast Food,Fast Food,11,+90 212 352 85 50,10-50,5.0,"Kahvaltı, İçecekler, Öğle Yemeği, Akşam Yemeği",30.0,30.0
Baba Sokak Lezzetleri,"K.bakkalköy Mah. Vedat Günyol Cad. 34/10, İstanbul 34750 Türkiye,İnternet sitesi","Kafe,Türk,Sokak Yemekleri","Kafe, Türk, Sokak Yemekleri",8,+90 532 132 07 91,10-50,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",30.0,30.0
Meyveli Kahvalti,"Sinan Pasa Mahallesi, Sair Veysi Sokak, No:33/A, İstanbul 34060 Türkiye,İnternet sitesi","Akdeniz,Türk,Vejetaryen Dostu","Akdeniz, Türk",2,+90 554 934 17 01,10-50,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",30.0,30.0
Galata Lily cafe Restaurant,"Luleci Hendek Caddesi 69/A, İstanbul 34425 Türkiye,İnternet sitesi,Menü","Kafe,Uluslararası,Akdeniz","Akdeniz, Türk, Kafe, Sağlıklı, Ortadoğu, Uluslararası",249,+90 544 791 02 13,4-55,5.0,Vejetaryen Dostu,29.5,29.5
Saffron Life,"Merkez Mah. Silahtarağa Cad. No: 8 Eyüp, İstanbul 34825 Türkiye,İnternet sitesi","Akdeniz,Türk,Vejetaryen Dostu","Akdeniz, Türk",23,+90 212 418 10 88,9-49,5.0,Vejetaryen Dostu,29.0,29.0
Brizo,"Rauf Orbay Caddesi, Sahil Yolu No: 2/1 Hyatt Regency İstanbul Ataköy, Ataköy 2-5-6. Kısım, İstanbul 34158 Türkiye,İnternet sitesi","Akdeniz,Türk","Kahvaltı, Öğle Yemeği, Akşam Yemeği",9,+90 212 463 12 34,,5.0,"Rezervasyonlar, Açık Havada Oturma, Oturma, Otopark Var, İndirimli Park Hizmeti, Vale Otopark, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, Alkol Var, Tüm İçkiler, Şarap ve Bira, Mastercard Kabul Ediliyor, Visa Kabul Ediliyor, Ücretsiz Wifi, Kredi Kartı Geçerli",29.0,29.0
Cherry Bistro,"Osmangazi Cd No:112B Sancaktepe, İstanbul 34885 Türkiye,İnternet sitesi,Menü","İtalyan,Fransız,Pizza","İtalyan, Fransız, Pizza, Türk, Sokak Yemekleri",67,+90 505 070 51 27,2-55,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",28.5,28.5
keçili ocakbaşı,"mehmet akif mahallesi şanlıurfa caddesi no:116/a sultanbeyli, İstanbul 34920 Türkiye,İnternet sitesi",Türk,Türk,27,+90 216 398 01 06,8-48,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",28.0,28.0
Salpa Bar,"Piri Çavuş Sokak, No: 3 Osmanağa Mahallesi, İstanbul 34714 Türkiye,İnternet sitesi,Menü",no input,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",2,+90 531 622 24 42,16-40,5.0,"Rezervasyonlar, Açık Havada Oturma, Alkol Var, Tüm İçkiler, Şarap ve Bira, Ücretsiz Wifi, Kredi Kartı Geçerli, Canlı Müzik, Hediye Kartıyla Yemek",28.0,28.0
One Way Chicken,"Defterdar Yokuşu Sokak 57/B, İstanbul 34425 Türkiye,İnternet sitesi",Amerikan,Amerikan,1,+90 212 293 19 29,21-35,5.0,"Öğle Yemeği, Akşam Yemeği",28.0,28.0
Bronwyn,"Akkavak Sokak, No:32/A Nişantaşı, Şişli, İstanbul 34365 Türkiye,İnternet sitesi,Menü","Uluslararası,Sağlıklı","Uluslararası, Sağlıklı",39,+90 212 232 22 50,15-40,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",27.5,27.5
Halikarnas Pub ERbar,"Kusdili Cd, Dere Gazinosu Sk. No. 93, İstanbul 34714 Türkiye,İnternet sitesi","Bar,Kafe,Bar","Bar, Kafe, Bar, Bira restoranları",3,+90 534 788 05 99,15-40,5.0,"Akşam Yemeği, İçecekler",27.5,27.5
Cantine Food,"İnönü Mah. Paparoncalli Sok. No:33a Paparoncalli, İstanbul 34381 Türkiye,İnternet sitesi,Menü","İtalyan,Meksika,Amerikan","İtalyan, Meksika, Amerikan, Türk",5,+90 212 224 32 02,6-48,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",27.0,27.0
Bigbang Burger Beşiktaş,"Sinanpaşa Mah. Ortabahçe Cd. No: 21, İstanbul 34353 Türkiye,İnternet sitesi,Menü","Amerikan,Avrupa,Türk","Amerikan, Avrupa, Türk",2,+90 444 2 919,17-37,5.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",27.0,27.0
Foodecent Restoran,"Kamer Hatun Mah. Kamer Hatun Cad. No. 5-A FOODECENT TAKSİM BEYOGLU/İSTANBUL Kamer hatun mah., İstanbul 34435 Türkiye,İnternet sitesi,Menü",Pizza,Pizza,53,+90 212 252 36 66,13-40,5.0,"Öğle Yemeği, Akşam Yemeği",26.5,26.5
Tezveren Baba Ocakbasi,"Turkelli Cad. No:59/A Kumkapi, Fatih, İstanbul Türkiye,İnternet sitesi",Türk,"Akşam Yemeği, Öğle Yemeği",17,5161919,,5.0,"Oturma, Masaya Servis",25.0,25.0
Kartal Et Dünyası,"Kordonboyu Mh. Ankara Cd. Gençlerbirliği Sk. No: 12/A Kartal, İstanbul 34000 Türkiye,İnternet sitesi","Biftek Restoranı,Akdeniz,Barbekü","Biftek Restoranı, Akdeniz, Barbekü, Avrupa, Türk",5,+90 216 306 55 61,10-40,5.0,"Öğle Yemeği, Akşam Yemeği",25.0,25.0
The Loft İstanbul Restaurant,"Hayriye Caddesi, Fransız Sokağı, Cezayir Çıkmazı No: 5/B Beyoğlu, The Loft İstanbul, İstanbul 34425 Türkiye,İnternet sitesi",Türk,Türk,2,+90 212 244 83 05,10-40,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",25.0,25.0
Bi'tas Corba,"Ataturk bulvari No:41/B Cebeci Mahallesi, İstanbul 34270 Türkiye,İnternet sitesi",Türk,Türk,1,+90 212 667 22 44,8-42,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",25.0,25.0
Sultanahmet Kebab House,"Nuruosmaniye Caddesi 12 Sultanahmet, İstanbul 34410 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Barbekü","Deniz Mahsülleri, Barbekü, Akdeniz, Ortadoğu",893,905054729896,14-35,5.0,"Vegan Seçenekleri, Helal, Glütensiz Seçenekler",24.5,24.5
Menbat Cafe,"Sivaseli Sk. No:1 İmrahor Cd., İstanbul 34445 Türkiye,İnternet sitesi,Menü","İtalyan,Amerikan,Türk","İtalyan, Amerikan, Türk",26,+90 212 314 04 40,5-44,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",24.5,24.5
Tel Dolap Cihangir Cafe,"Purtelas Hasan Efendi Mahallesi, Baskurt Sokak, No:58A, İstanbul 34433 Türkiye,İnternet sitesi","Amerikan,Avrupa,Türk","Amerikan, Avrupa, Türk, Orta Avrupa",5,+90 546 435 71 06,14-35,5.0,"Kahvaltı, Gece Eğlencesi, Öğle Yemeği, Akşam Yemeği",24.5,24.5
Burgerbank,"Cumhuriyet Mah. Onur Sok. Beylikdüzü, Akik 3 Dükkan, İstanbul 34528 Türkiye,İnternet sitesi,Menü","Amerikan,Fast Food,Çağdaş","Fast Food, Amerikan, Çağdaş, Lokanta, Sokak Yemekleri",66,+90 850 203 6099,15-33,5.0,Vejetaryen Dostu,24.0,24.0
Fiyonk Bakery & Cafe,"Caddebostan Mahallesi, Bağdat Caddesi, Şimşek Sokak No: 4 Kadıköy, İstanbul 34728 Türkiye,İnternet sitesi,Menü",Türk,Türk,7,+90 216 999 42 19,15-32,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",23.5,23.5
Acht,"Bağdat Caddesi Noter Sokak No:18 Caddebostan Mahallesi, İstanbul 34740 Türkiye,İnternet sitesi","Alman,Türk","Öğle Yemeği, Akşam Yemeği, İçecekler",3,+90 216 385 91 47,,5.0,"Dışarı Yemek Servisi, Paket Yemek, Rezervasyonlar, Açık Havada Oturma, Özel Yemek, Oturma, Bebek Sandalyesi Var, Kredi Kartı Geçerli",23.5,23.5
Muhtelif Mekân,"Rasimpasa Mahallesi, Karakolhane Caddesi Feritbey Sokak, No:18-B, İstanbul 34716 Türkiye,İnternet sitesi","Türk,Lokanta,Sağlıklı","Türk, Lokanta, Sağlıklı",194,+90 542 345 75 70,16-30,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",23.0,23.0
Vogue,"Süleyman Seba Caddesi No: 92 Beşiktaş, İstanbul 34357 Türkiye,İnternet sitesi","Japon,Uluslararası,Akdeniz","Akşam Yemeği, Öğle Yemeği",25,+90 212 227 44 04,,5.0,"Rezervasyonlar, Oturma, Kredi Kartı Geçerli, Masaya Servis",22.5,22.5
Aklen Cafe,"Halkalı caddesi No:113/b, İstanbul 34295 Türkiye,İnternet sitesi",Türk,Türk,21,+90 544 601 46 61,15-30,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",22.5,22.5
Sarsak,"Dr. Esat Işık Caddesi No. 24/A Caferağa Mahallesi, İstanbul 34710 Türkiye,İnternet sitesi,Menü","Türk,Sokak Yemekleri","Türk, Sokak Yemekleri",17,+90 216 939 76 68,15-30,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",22.5,22.5
Balık Dürüm Murat Usta,"Azapkapı, Fermeneciler Cd. No 65, İstanbul 34421 Türkiye,İnternet sitesi,Menü",Deniz Mahsülleri,Deniz Mahsülleri,15,+90 535 545 58 73,15-30,5.0,"Öğle Yemeği, Akşam Yemeği",22.5,22.5
Keji Ethnic Food,"Sıraselviler Cad.Hoca Zade Sk. No:22/A Katip Mustafa Çelebi Mah, İstanbul 34433 Türkiye,İnternet sitesi,Menü",Türk,Türk,7,+90 212 245 08 85,15-30,5.0,"Öğle Yemeği, Akşam Yemeği",22.5,22.5
Sahan Lokantası,"Balat Mahallesi, Vodina Caddesi, No 184, Fatih, İstanbul Türkiye,İnternet sitesi",Türk,Türk,6,+90 212 521 01 67,5-40,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",22.5,22.5
Tandırevi,"Yenibosna Merkez Mah. Atatürk Cad. No: 11/A Bahçelievler, İstanbul 34197 Türkiye,İnternet sitesi,Menü",Türk,Türk,5,+90 212 651 28 80,3-40,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",21.5,21.5
Pango Karakoy,"Ali Paşa Değirmeni Sk. 10-B, İstanbul 34425 Türkiye,İnternet sitesi,Menü","Kafe,Fast Food,Türk","Türk, Kafe, Fast Food, Sokak Yemekleri",1,+90 553 273 96 90,13-30,5.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",21.5,21.5
Harab'be cafe,"Ticarethane Sk., İstanbul 34 Türkiye,İnternet sitesi,Menü","Bar,Kafe,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",705,+90 212 522 29 30,,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",20.0,20.0
mitara cafe & art,"Küçük Ayasofya Mah. Kaleci sok. No:9/101 Kaleci sok. Akburçak Sokağin kesiştiği köşe., İstanbul 34122 Türkiye,İnternet sitesi","Kafe,Akdeniz,Avrupa","Kafe, Akdeniz, Avrupa, Türk, Sağlıklı",340,+90 212 638 44 80,15-25,5.0,"Vegan Seçenekleri, Helal, Glütensiz Seçenekler",20.0,20.0
Constantine's Ark,"Hoca Paşa Mah. İbn-i Kemal Cad. No: 13 Fatih,Sirkeci, İstanbul 34112 Türkiye,İnternet sitesi","Akdeniz,Türk,Sağlıklı","Akdeniz, Türk, Sağlıklı",1435,+90 212 522 34 21,14-25,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",19.5,19.5
Frango,"Cevizlik Mah. Mor Sümbül Sok. No:1/3B Bakırköy, İstanbul 34142 Türkiye,İnternet sitesi","Fast Food,Türk","Fast Food, Türk",86,+90 212 660 65 65,9-30,5.0,"Öğle Yemeği, Akşam Yemeği",19.5,19.5
Dervisansirkeci,"Hobyar Mahallesi Mimar Kemalettin Caddesi No 4/a Ersoy Han, İstanbul 34112 Türkiye,İnternet sitesi,Menü","İtalyan,Biftek Restoranı,Fast Food","İtalyan, Biftek Restoranı, Fast Food, Uluslararası, Türk",71,+90 212 514 20 24,2-35,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",18.5,18.5
Şam Kahvesi,"Ali Kuşcu Mahallesi, Taylasan Sok. No: 8/A Fatih, İstanbul 34083 Türkiye,İnternet sitesi","İtalyan,Pizza,Akdeniz","İtalyan, Akdeniz, Türk, Pizza, Sağlıklı",18,+90 212 533 03 01,5-30,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",17.5,17.5
Safahat Lokantası,"Esentepe Mahallesi, Büyükdere Caddesi No: 15 Şişli, ÖzdilekPark AVM, Kat 1, İstanbul 34394 Türkiye,İnternet sitesi",Türk,Türk,4,+90 212 386 88 68,6-29,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",17.5,17.5
Modern Lokanta,"Şht. Teğmen Ali Yılmaz Sk., No14 Kavacık Mahallesi, Güven Sazak Plaza, İstanbul 34810 Türkiye,İnternet sitesi","Akdeniz,Türk","Akdeniz, Türk",1,+90 216 693 19 99,10-25,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",17.5,17.5
Messt Küneffe,"Postane Mahallesi Manastıryolu Caddesi No:11/5 Tuzla, İstanbul 34940 Türkiye,İnternet sitesi",Türk,Türk,1,+90 216 447 01 22,10-25,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",17.5,17.5
Serez Dondurmacısı,"Bostancı Mah. Kocayol Cad. No:12/B, İstanbul 34744 Türkiye,İnternet sitesi,Menü",no input,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",2,+90 850 259 7374,4-30,5.0,"Paket Yemek, Oturma, Cadde Üzerinde Park, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, Kredi Kartı Geçerli",17.0,17.0
Kroren Restaurant,"Topkapı Mahallesi, Turgut Özal Millet Caddesi  No 170/A Fatih, Pazartekke Tramway Station, İstanbul 34093 Türkiye,İnternet sitesi","Çin,Asya,Orta Asya","Çin, Orta Asya, Asya",171,+90 212 525 00 09,3-30,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",16.5,16.5
Ağababa  Express Döner,"Söğütlü Çeşme Cd No:20 Osmanağa Mahallesi, İstanbul 34714 Türkiye,İnternet sitesi,Menü",no input,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",118,+90 216 420 52 52,13-20,5.0,"Paket Yemek, Açık Havada Oturma, Dijital Ödemeler, Ücretsiz Wifi, Kredi Kartı Geçerli",16.5,16.5
Çengelköşk,"Tanrıverdi Sok. No: 11 Üsküdar, Çengelköy, İstanbul 34680 Türkiye,İnternet sitesi",Türk,Türk,1,+90 505 969 29 45,8-25,5.0,"Kahvaltı, Brunch, İçecekler, Öğle Yemeği, Akşam Yemeği",16.5,16.5
Köfte Sofrası,"19 Mayis Mahallesi Küçük Bahçe Sokak No:3/7a Samanyolu İş Merkezi Şişli, İstanbul 34360 Türkiye,İnternet sitesi","Barbekü,Türk,Mangal","Barbekü, Türk, Mangal, Sağlıklı, Doğu Avrupa, Ermeni",4,+90 212 225 25 85,10-22,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",16.0,16.0
YIldIz Bufe - Since 1967,"Hacı Kucuk Sk. No:19 Sururi Mahallesi, İstanbul 34120 Türkiye,İnternet sitesi,Menü","Fast Food,Türk,Ortadoğu","Türk, Fast Food, Ortadoğu",55,+90 212 522 82 07,5-25,5.0,Helal,15.0,15.0
Kadıköy Ruhha,"Caferağa Mah. Güneşlibahçe Sok. No: 41/C Kadıköy, İstanbul 34710 Türkiye,İnternet sitesi","Türk,Helal",Türk,34,+90 216 550 55 63,5-25,5.0,Helal,15.0,15.0
