adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,titleRestaurant
"Binbirdirek Mah., Su Terazisi Sok. No:9, İstanbul Türkiye,İnternet sitesi","$$-$$$,İtalyan,Pizza,Avrupa","İtalyan, Pizza, Avrupa, Türk",845 yorum,+90 212 516 44 47,₺71 - ₺141,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Ozi Pizza and Pasta
"Kennedy Caddesi Sahilyolu No:38/1 Eminönü, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$$$,Deniz Mahsülleri,Akdeniz,Avrupa","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",888 yorum,+90 212 517 53 02,"Deniz Mahsülleri, Akdeniz, Avrupa, Türk","4,5","Öğle Yemeği, Akşam Yemeği, Brunch",Sur Balık Sarayburnu
"Ebusuud Caddesi, Mehmet Murat Sokak No: 4 Sirkeci, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk",314 yorum,+90 212 528 13 42,₺68 - ₺255,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Sultania Restaurant
"Kucuk Ayasofya Mah. Kadirda Limani Cad. No: 147/1, İstanbul 34122 Türkiye,İnternet sitesi","$,Bar,Uluslararası,Bar","Bar, Uluslararası, Bar",240 yorum,+90 534 707 88 88,₺25 - ₺102,"4,5",Vejetaryen Dostu,Reggae BR
"Binbirdirek Mah. Su Terazisi Sok. No: 11/A Fatih, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Pizza,Akdeniz,Avrupa","Pizza, Akdeniz, Avrupa, Türk, Ortadoğu",458 yorum,+90 212 458 35 36,₺10 - ₺75,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Sokullu Pizza & Restaurant
"Akbiyik Caddesi Number :11 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$-$$$,Uluslararası,Akdeniz,Avrupa","Avrupa, Türk, Uluslararası, Akdeniz",1.082 yorum,+90 212 518 45 18,₺42 - ₺423,"4,5","Vejetaryen Dostu, Glütensiz Seçenekler",Tria Elegance Restaurant
"15 Mim Kemal Oke Street Nisantasi, İstanbul Türkiye,İnternet sitesi,Menü","$$-$$$,İtalyan,Bar,Akdeniz","İtalyan, Bar, Avrupa, Akdeniz",216 yorum,+90 212 291 57 23,₺106 - ₺423,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Juno
"Prof. K. İsmail Gürkan Caddesi No: 14 Sultanahmet, İstanbul 34400 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",1.950 yorum,+90 541 859 89 50,"Deniz Mahsülleri, Akdeniz, Türk","4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Sultanahmet Fish House
"Hudavendigar Street No: 28-30/B, İstanbul 34210 Türkiye,İnternet sitesi,Menü","$$-$$$,Bar,Avrupa,Türk","Bar, Avrupa, Türk, Bar",899 yorum,+90 212 513 73 10,₺71 - ₺106,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Red River Pub
"Emirhan Caddesi No 74 Dikilitaş Garanti Bankası Yanı, İstanbul 34349 Türkiye,İnternet sitesi","$$-$$$,Kafe,Türk,Vejetaryen Dostu","Kafe, Türk",145 yorum,+90 212 212 59 59,₺14 - ₺87,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal",Gönenli Peynircmm Dikilitaş
"Soğukçeşme Sok. Ayasofya Konakları No:26 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$$$,Avrupa,Türk,Vejetaryen Dostu",Vejetaryen Dostu,436 yorum,+90 530 066 10 71,"Avrupa, Türk","4,0","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Sarnıç Restaurant
"Divanyolu Cad. Hoca Rustem Sokak No: 10/A Sultanahmet, İstanbul Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",927 yorum,+90 212 512 69 42,"Akdeniz, Avrupa, Türk, Ortadoğu","4,5","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",Sirevi Restaurant
"Taya Hatun Sok. No. 5, İstanbul 34120 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Avrupa","Türk, Çorbalar, Deniz Mahsülleri, Akdeniz, Avrupa",537 yorum,+90 212 528 43 44,₺176 - ₺247,"4,5","Vejetaryen Dostu, Glütensiz Seçenekler",Neyzade Restaurant
"İstiklal Cad. Hıdival Palas No:231 K:2 Beyoğlu Merkez, İstanbul Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",638 yorum,+90 212 244 90 90,"Deniz Mahsülleri, Akdeniz, Türk, Yunan, Sağlıklı","4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Eleos Restoran
"Bereketzade M Kule Cikmazi 7A Beyoglu, İstanbul 34000 Türkiye,İnternet sitesi","$,Kafe,Türk,Vejetaryen Dostu","Kafe, Türk",400 yorum,+90 543 331 33 39,₺3 - ₺14,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Velvet Cafe
"Hacı Adil Cad. Palmiye Sok. No:1 Levent, Beşiktaş, İstanbul 34330 Türkiye,İnternet sitesi,Menü","$$$$,Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Çağdaş",349 yorum,+90 212 280 38 38,₺71 - ₺423,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Şans Restaurant
"Meşrutiyet cad No:83 Asmalı Mescit mah. Beyoğlu, İstanbul Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",1.114 yorum,+90 212 252 83 02,"Akdeniz, Avrupa, Türk, Ortadoğu","4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Meze By Lemon Tree
"Ankara Caddesi No: 73/B Sirkeci, İstanbul Türkiye,İnternet sitesi","$$-$$$,İtalyan,Pizza,Uluslararası","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",419 yorum,+90 212 513 65 35,"İtalyan, Pizza, Avrupa, Türk, Uluslararası","4,5","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler, Gece Eğlencesi",Cafe Esmer Chef
"Kabasakal Cad. Arasta Carsisi No: 117, İstanbul Türkiye,İnternet sitesi","$$-$$$,Kafe,Akdeniz,Türk","Akdeniz, Kafe, Türk, Ortadoğu",769 yorum,+90 212 517 00 04,₺71 - ₺141,"4,5","Vegan Seçenekleri, Helal",Serbethane Cafe&Restaurant
"Boğazkesen Cad. Tomtom Kaptan Sk. No:18 Beyoğlu, İstanbul 34433 Türkiye,İnternet sitesi,Menü","$$$$,Uluslararası,Avrupa,Vejetaryen Dostu","Avrupa, Uluslararası",621 yorum,+90 212 292 44 67,₺467 - ₺595,"4,5","Vejetaryen Dostu, Glütensiz Seçenekler",Nicole
"Mimar Mehmet Aga Caddesi No:16 Fatih, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Kafe,Akdeniz,Avrupa","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",422 yorum,+90 212 458 36 30,"Kafe, Akdeniz, Avrupa, Türk","4,5","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",Sofa Cafe & Restaurant
"Çırağan Cad. No:32 Çırağan Palace Kempinski, İstanbul 34349 Türkiye,İnternet sitesi,Menü","$$$$,Avrupa,Vejetaryen Dostu,Vegan Seçenekleri","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",524 yorum,+90 212 236 73 33,Avrupa,"4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Tuğra Restaurant
"Arpacılar Cd. No:13 Hoybar Mahallesi, İstanbul 34112 Türkiye,İnternet sitesi,Menü","$,Türk,Vejetaryen Dostu,Vegan Seçenekleri",Türk,125 yorum,+90 212 522 03 03,₺7 - ₺65,"4,5","Vejetaryen Dostu, Helal, Vegan Seçenekleri",BirBen Restaurant
"İnönü Caddesi No: 50 Ömer Avni Mahallesi, İstanbul Türkiye,İnternet sitesi,Menü","$$$$,Akdeniz,Avrupa,Türk","Türk, Çağdaş, Akdeniz, Avrupa",746 yorum,+90 212 249 10 01,₺176 - ₺705,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Rana by Topaz
"Necatibey Caddesi Gumruk Sokak No:4 Karakoy, İstanbul Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",206 yorum,+90 212 244 22 52,"Akdeniz, Avrupa, Türk","4,5","Öğle Yemeği, Akşam Yemeği, Brunch",Karaköy Gümrük
"Yerebatan Caddesi No 13 Alemdar Mahallesi, İstanbul 34093 Türkiye,İnternet sitesi","$$$$,İtalyan,Meksika,Akdeniz","İtalyan, Sağlıklı, Meksika, Akdeniz, Türk",56 yorum,+90 212 522 44 21,₺212 - ₺846,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Foodie-Ist Cafe Brasserie
"Hüdavendigar Cd. No: 5 Blu Hotel, İstanbul 34110 Türkiye,İnternet sitesi","$$-$$$,Kafe,Akdeniz,Avrupa","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Kosher, Glütensiz Seçenekler",436 yorum,+90 212 514 98 28,"Kafe, Avrupa, Türk, Ortadoğu, Akdeniz","4,5","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",Blu Kitchen
"Ticarethane Sk., İstanbul 34 Türkiye,İnternet sitesi,Menü","$$-$$$,Bar,Kafe,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",705 yorum,+90 212 522 29 30,"Bar, Kafe, Türk, Sağlıklı","5,0","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",Harab'be cafe
"Kılıçali Paşa Mah. Akarsu Yokusu Cad. No: 36 - 36A Kat: 7, İstanbul Türkiye,İnternet sitesi,Menü","$$$$,Deniz Mahsülleri,Akdeniz,Avrupa","Vegan Seçenekleri, Vejetaryen Dostu, Glütensiz Seçenekler",338 yorum,+90 212 245 10 87,"Deniz Mahsülleri, Akdeniz, Avrupa, Türk","4,5","Öğle Yemeği, Akşam Yemeği",Sur Balık Cihangir
"Tığcılar Sokak No: 48 Kapalıçarsı / Mercan, İstanbul Türkiye,İnternet sitesi","$$-$$$,Uluslararası,Türk","Uluslararası, Türk",429 yorum,+90 212 522 58 61,₺8 - ₺32,"4,5","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Keyf-i Mekan Cafe And Restaurant
"Kariye Camii Sokak No: 6 Edirnekapı, İstanbul 34240 Türkiye,İnternet sitesi,Menü","$$$$,Türk,Sağlıklı,Ortadoğu","Türk, Sağlıklı, Ortadoğu",1.112 yorum,+90 212 635 79 97,₺50 - ₺100,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Asitane
"Asmalımescit Mah. General Yazgan Sok. No: 3 Beyoğlu, İstanbul Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Türk,Ortadoğu","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",642 yorum,+90 212 244 08 20,"Akdeniz, Türk, Ortadoğu","4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Antiochia Concept
"Salt Galata  Bankalar Caddesi No 11 Karakoy 34420 Inside Salt Galata Building, İstanbul 34420 Türkiye,İnternet sitesi,Menü","$$$$,Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Çağdaş",349 yorum,+90 212 244 00 16,₺120 - ₺350,"4,0","Vejetaryen Dostu, Vegan Seçenekleri",Neolokal
"Şahkulu Mah. Galip Dede Cad. Tımarcı Sok. No:4, İstanbul Türkiye,İnternet sitesi","$$-$$$,Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk",217 yorum,+90 535 476 69 07,₺25 - ₺127,"4,5","Vejetaryen Dostu, Vegan Seçenekleri",Nakka Bistro
"Anadolu Hisarı Mah. Körfez Cad. No: 55, İstanbul Türkiye,İnternet sitesi,Menü","$$$$,Deniz Mahsülleri,Akdeniz,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",354 yorum,+90 216 460 10 00,"Deniz Mahsülleri, Akdeniz, Türk","4,0","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Uskumru
"Meşrutiyet Cad. No: 51/A Beyoğlu, İstanbul 34443 Türkiye,İnternet sitesi,Menü","$$-$$$,Asya,Tayland,Vejetaryen Dostu","Asya, Tayland",566 yorum,+90 212 292 64 96,₺50 - ₺150,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Çok Çok
"Bronz Sokak, No:5 Maçka, İstanbul 34367 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Barbekü,Türk","Türk, Akdeniz, Barbekü, Ortadoğu",509 yorum,+90 212 230 38 68,₺100 - ₺180,"4,0","Vejetaryen Dostu, Helal",Nişantaşı Başköşe
"Kemankes Cad. 37/A Karaköy, İstanbul 34425 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",1.206 yorum,+90 212 252 54 22,₺176 - ₺268,"4,0","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Karakoy Lokantasi
"Cankurtaran Mah. Keresteci Hakkı Sokak No: 38/A Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Türk","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",359 yorum,+90 212 518 49 88,"Deniz Mahsülleri, Akdeniz, Türk","4,0","Rezervasyonlar, Açık Havada Oturma, Oturma, Tekerlekli Sandalye İle Erişim, Alkol Var, Masaya Servis",Ahırkapı Balıkçısı
"Kuruçeşme Mah. Muallim Naci Cad. No:64 D:2 Kuruçeşme, Beşiktaş, İstanbul 34345 Türkiye,İnternet sitesi,Menü","$$$$,Deniz Mahsülleri,Akdeniz,Avrupa","Deniz Mahsülleri, Akdeniz, Avrupa, Türk",373 yorum,+90 212 265 54 80,₺280 - ₺420,"4,5","Vejetaryen Dostu, Glütensiz Seçenekler",Mavi Balık
"Ulus Mahallesi, Ahmet Adnan Saygun Caddesi No: 71/1 Beşiktaş, Ulus Parkı İçi, İstanbul Ulus Türkiye,İnternet sitesi","$$$$,Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",828 yorum,+90 212 358 29 29,"Akdeniz, Avrupa, Türk, Füzyon","4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Ulus 29
"Miralay Sefikbey Sokak No:9/A AKM'nin 2 alt sokağında., İstanbul 34437 Türkiye,İnternet sitesi","$$-$$$,İtalyan,Pizza,Akdeniz","İtalyan, Pizza, Akdeniz, Avrupa",140 yorum,+90 212 243 98 99,₺35 - ₺200,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Fiore Italian Restaurant - Pizzeria
"Vişnezade Mahallesi, Acısu Sok. No: 19 Beşiktaş, Swissotel The Bosphorus, İstanbul 34357 Türkiye,İnternet sitesi,Menü","$$-$$$,Uluslararası,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",88 yorum,+90 212 326 11 00,"Avrupa, Uluslararası, Türk, Orta Avrupa, Orta Asya","5,0","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",Cafe Swiss
"The Marmara Pera Hotel, Mesrutiyet No 15 Beyoglu, İstanbul 34430 Türkiye,İnternet sitesi,Menü","$$$$,Türk,Çağdaş,Vejetaryen Dostu","Türk, Çağdaş",1.957 yorum,+90 212 293 56 56,₺360 - ₺720,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Mikla Restaurant
"Keresteci Hakkı Sokak Armada Otel Yanı Cankurtaran, İstanbul Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Akdeniz,Avrupa","Vejetaryen Dostu, Glütensiz Seçenekler",523 yorum,458 2270,"Deniz Mahsülleri, Akdeniz, Avrupa, Türk","4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Giritli İstanbul
"Kucuk Ayasofya Mah Kadirga Liman Cad Camii Sk 5 /A Sultanahmet Fatih, İstanbul 34000 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Uluslararası,Akdeniz","Deniz Mahsülleri, Uluslararası, Akdeniz, Barbekü, Türk",44 yorum,+90 543 799 86 84,₺17 - ₺65,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Ottoman Palace Kitchen
"General Yazgan Sk No 8 Asmali Mescit Mahallesi, İstanbul 34430 Türkiye,İnternet sitesi,Menü","$$-$$$,İtalyan,Fransız,Akdeniz","İtalyan, Fransız, Akdeniz, Türk",46 yorum,+90 212 252 47 53,₺35 - ₺353,"5,0","Vejetaryen Dostu, Vegan Seçenekleri",Restaurant Mabou
"Cankurtaran Mah. Ahırkapı Sok. No: 24 Fatih, İstanbul 34122 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Uluslararası,Türk","Vejetaryen Dostu, Glütensiz Seçenekler",327 yorum,+90 212 455 44 55,"Deniz Mahsülleri, Uluslararası, Türk","4,5","Akşam Yemeği, Öğle Yemeği",Armada Terrace Restaurant
"Galata Köprüsü No:6 Eminönü, İstanbul 34500 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Akdeniz,Avrupa","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",895 yorum,+90 212 527 38 89,"Deniz Mahsülleri, Akdeniz, Avrupa, Türk, Çorbalar","4,0","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Yaka Balık Restaurant
"Caferağa Mahallesi, Güneşli Bahçe Sk. No: 43 Kadıköy, İstanbul Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Türk,Ortadoğu","Akdeniz, Türk, Ortadoğu",2.080 yorum,+90 216 330 31 90,₺35 - ₺141,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Çiya Sofrası
"İstiklal caddesi Orhan Adli Apaydın Sk. No :5/A Asmalı mecid mahallesi, İstanbul 34430 Türkiye,İnternet sitesi","$$-$$$,Türk,Vejetaryen Dostu",Vejetaryen Dostu,151 yorum,+90 212 293 11 39,Türk,"4,5","Akşam Yemeği, Öğle Yemeği, Gece Eğlencesi",Galata Restaurant & Bar
"Akbıyık Caddesi No 48/B Cankurtaran, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Fransız,Hint,Akdeniz","Fransız, Hint, Akdeniz, Barbekü, Avrupa, Türk, Ortadoğu, Kanada, Çorbalar",317 yorum,+90 535 033 63 91,₺85 - ₺170,"4,5","Helal, Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Turkuaz Gürme Restaurant
"Felek Sokak No.2 Bereketzade Mah., İstanbul 34421 Türkiye,İnternet sitesi","$$-$$$,Uluslararası,Akdeniz,Barbekü","Barbekü, Türk, Uluslararası, Akdeniz, Ortadoğu",56 yorum,+90 212 512 18 18,₺102 - ₺425,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal",Moise Karakoy
"Firuzağa Mah. Faik Paşa Cad. No: 41-45 Beyoğlu, İstanbul 34425 Türkiye,İnternet sitesi","$$-$$$,Pizza,Kafe,Uluslararası","Türk, Pizza, Kafe, Uluslararası, Çağdaş",85 yorum,+90 212 244 43 43,₺127 - ₺212,"5,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal",Cihangir Faik Paşa Cafe
"Hacı Kucuk Sk. No:19 Sururi Mahallesi, İstanbul 34120 Türkiye,İnternet sitesi,Menü","$,Fast Food,Türk,Ortadoğu","Türk, Fast Food, Ortadoğu",55 yorum,+90 212 522 82 07,₺5 - ₺25,"5,0",Helal,YIldIz Bufe - Since 1967
"Divanyolu Caddesi, Ticarethane Sokak No: 9/A Sultanahmet, İstanbul 34410 Türkiye,İnternet sitesi","$$-$$$,Deniz Mahsülleri,Barbekü,Türk","Deniz Mahsülleri, Barbekü, Türk",559 yorum,+90 212 514 00 29,₺28 - ₺254,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Adonin
"Çengelköy Cad. Üsküdar, İstanbul 34680 Türkiye,İnternet sitesi","$$-$$$,Bar,Kafe,Deniz Mahsülleri","Fast Food, Türk, Bar, Kafe, Deniz Mahsülleri, Akdeniz, Barbekü, Avrupa",80 yorum,+90 216 422 94 95,₺20 - ₺80,"5,0","Vegan Seçenekleri, Glütensiz Seçenekler, Vejetaryen Dostu",Rainbow Cafe & Restaurant
"İstiklal Cad. Turnacıbaşı Sok. No: 4 Beyoğlu, İstanbul 34433 Türkiye,İnternet sitesi","$$-$$$,Türk,Vejetaryen Dostu,Vegan Seçenekleri",Türk,321 yorum,+90 212 245 75 01,₺21 - ₺106,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Hayvore
"Katip Çelebi Mah, 34433   İstiklal Caddesi, No:39 Taksim, İstanbul 34433 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Barbekü,Türk","Akdeniz, Barbekü, Türk",721 yorum,+90 212 293 31 31,₺25 - ₺200,"4,0","Vegan Seçenekleri, Helal",Hatay Medeniyetler Sofrasi Taksim
"Çukurcuma Caddesi No: 53/A Beyoğlu, İstanbul 34425 Türkiye,İnternet sitesi","$$-$$$,Kafe,Uluslararası,Akdeniz","Kafe, Uluslararası, Akdeniz, Türk",164 yorum,+90 212 293 20 62,₺35 - ₺106,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",Cuma
"Şehsuvar Bey Mahallesi, Üstad Sokak No: 3/7 Kumkapı, Fatih, İstanbul 34110 Türkiye,İnternet sitesi,Menü","$$-$$$,Deniz Mahsülleri,Akdeniz,Avrupa",Helal,161 yorum,+90 212 458 22 00,"Deniz Mahsülleri, Akdeniz, Türk, Avrupa","4,5","Akşam Yemeği, Öğle Yemeği, İçecekler",Kumkapı Tiryakii
"Şair Nedim Cad. Akaretler 33/A Vişnezade Mah., İstanbul 34357 Türkiye,İnternet sitesi","$,Biftek Restoranı,Bar,Barbekü","Biftek Restoranı, Bar, Barbekü, Güney Amerika",52 yorum,+90 850 255 1378,₺15 - ₺80,"5,0","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",Just BBQ
"Sinanpaşa Mah, Hayrettin İskelesi Sok. No: 1 Beşiktaş, İstanbul 34353 Türkiye,İnternet sitesi,Menü","$$$$,Suşi,Türk,Vejetaryen Dostu","Suşi, Türk",160 yorum,+90 212 275 88 88,₺170 - ₺340,"4,5","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Ist Too
"Nispetiye Caddesi No: 28 Etiler, İstanbul Türkiye,İnternet sitesi","$$-$$$,Türk,Vejetaryen Dostu,Vegan Seçenekleri","Helal, Vejetaryen Dostu, Vegan Seçenekleri",210 yorum,+90 532 295 72 95,Türk,"5,0","Öğle Yemeği, Akşam Yemeği",İkonium Etiler
"İcadiye Cad. İnci Çayırlı Sok.  No:2 Kuzguncuk Mah., İstanbul 34674 Türkiye,İnternet sitesi","$$-$$$,Türk,Lokanta,Helal","Türk, Lokanta",129 yorum,+90 216 553 33 33,₺226 - ₺261,"4,5",Helal,Metet Kozde Doner
"Cumhuriyet Caddesi No:31 | A Elmadag / TAKSİM, İstanbul 34373 Türkiye,İnternet sitesi,Menü","$$-$$$,İtalyan,Pizza,Akdeniz","İtalyan, Pizza, Akdeniz, Avrupa, Türk",484 yorum,+90 212 297 60 77,₺71 - ₺212,"4,0","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",Faros Restaurant Taksim
"Manastır Mevkii, Cafer Sokak No: 18 Tuzla, İstanbul Türkiye,İnternet sitesi","$$$$,Deniz Mahsülleri,Akdeniz,Türk","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",162 yorum,+90 216 395 58 95,"Deniz Mahsülleri, Akdeniz, Türk","4,5","Rezervasyonlar, Açık Havada Oturma, Oturma, Otopark Var, Vale Otopark, Tekerlekli Sandalye İle Erişim, Alkol Var, Ücretsiz Wifi, Masaya Servis, İndirimli Park Hizmeti",Angel Mercan
"Küçük Ayasofya Mah. Kadirga Limanı Cad. No: 97 Fatih, İstanbul 34122 Türkiye,İnternet sitesi","$$-$$$,Barbekü,Türk","Barbekü, Türk",35 yorum,+90 212 638 22 66,₺56 - ₺134,"5,0","Akşam Yemeği, Öğle Yemeği, İçecekler",Hagia Sophia Turkish Cuisine
"Yeşilbahçe Sok. No:9 Yeşilköy no: 9 Yesilkoy, İstanbul Türkiye,İnternet sitesi","$$$$,Deniz Mahsülleri,Akdeniz,Yunan","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",256 yorum,(0212) 663 39 11-573 68 28,"Deniz Mahsülleri, Akdeniz, Yunan","4,5","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",Eleos
"Korfez Cad. 57/A, İstanbul Türkiye,İnternet sitesi,Menü","$$$$,Deniz Mahsülleri,Akdeniz,Türk","Vejetaryen Dostu, Helal, Glütensiz Seçenekler",587 yorum,413 4224,"Deniz Mahsülleri, Akdeniz, Türk","4,0","Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",Lacivert Restaurant
"Çırağan Cad. No:44 Ortaköy, Beşiktaş, İstanbul 34347 Türkiye,İnternet sitesi,Menü","$$$$,Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Helal, Glütensiz Seçenekler",469 yorum,+90 212 227 22 16,"Akdeniz, Avrupa, Türk","4,0","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",Feriye Palace
"Şenlikköy Mahallesi, Halkalı Caddesi, No:10 Florya, Bakırköy, İstanbul 34153 Türkiye,İnternet sitesi","$$$$,Biftek Restoranı,Barbekü,Şarküteri","Biftek Restoranı, Barbekü, Şarküteri",385 yorum,+90 212 547 01 01,₺71 - ₺1.411,"4,0",Helal,Şazeli Florya
"Tahmis Cad Kalcin Sok No.17 Eminonu, İstanbul 34116 Türkiye,İnternet sitesi,Menü","$$-$$$,Akdeniz,Türk,Ortadoğu","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",4.289 yorum,+90 444 6 463,"Akdeniz, Türk, Ortadoğu","4,0","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",Hamdi Restaurant
